Key Name,SDL_Scancode Value,SDL_Keycode Value
0,SDL_SCANCODE_0,SDLK_0
1,SDL_SCANCODE_1,SDLK_1
2,SDL_SCANCODE_2,SDLK_2
3,SDL_SCANCODE_3,SDLK_3
4,SDL_SCANCODE_4,SDLK_4
5,SDL_SCANCODE_5,SDLK_5
6,SDL_SCANCODE_6,SDLK_6
7,SDL_SCANCODE_7,SDLK_7
8,SDL_SCANCODE_8,SDLK_8
9,SDL_SCANCODE_9,SDLK_9
A,SDL_SCANCODE_A,SDLK_a
',SDL_SCANCODE_APOSTROPHE,SDLK_QUOTE
B,SDL_SCANCODE_B,SDLK_b
\,SDL_SCANCODE_BACKSLASH,SDLK_BACKSLASH
Backspace,SDL_SCANCODE_BACKSPACE,SDLK_BACKSPACE
C,SDL_SCANCODE_C,SDLK_c
CapsLock,SDL_SCANCODE_CAPSLOCK,SDLK_CAPSLOCK
,,SDL_SCANCODE_COMMA,SDLK_COMMA
D,SDL_SCANCODE_D,SDLK_d
Down,SDL_SCANCODE_DOWN,SDLK_DOWN
E,SDL_SCANCODE_E,SDLK_e
=,SDL_SCANCODE_EQUALS,SDLK_EQUALS
F,SDL_SCANCODE_F,SDLK_f
F1,SDL_SCANCODE_F1,SDLK_F1
F10,SDL_SCANCODE_F10,SDLK_F10
F11,SDL_SCANCODE_F11,SDLK_F11
F12,SDL_SCANCODE_F12,SDLK_F12
F2,SDL_SCANCODE_F2,SDLK_F2
F3,SDL_SCANCODE_F3,SDLK_F3
F4,SDL_SCANCODE_F4,SDLK_F4
F5,SDL_SCANCODE_F5,SDLK_F5
F6,SDL_SCANCODE_F6,SDLK_F6
F7,SDL_SCANCODE_F7,SDLK_F7
F8,SDL_SCANCODE_F8,SDLK_F8
F9,SDL_SCANCODE_F9,SDLK_F9
G,SDL_SCANCODE_G,SDLK_g
`,SDL_SCANCODE_GRAVE,SDLK_BACKQUOTE
H,SDL_SCANCODE_H,SDLK_h
I,SDL_SCANCODE_I,SDLK_i
J,SDL_SCANCODE_J,SDLK_j
K,SDL_SCANCODE_K,SDLK_k
L,SDL_SCANCODE_L,SDLK_l
Left Alt,SDL_SCANCODE_LALT,SDLK_LALT
Left Ctrl,SDL_SCANCODE_LCTRL,SDLK_LCTRL
Left,SDL_SCANCODE_LEFT,SDLK_LEFT
[,SDL_SCANCODE_LEFTBRACKET,SDLK_LEFTBRACKET
Left Shift,SDL_SCANCODE_LSHIFT,SDLK_LSHIFT
M,SDL_SCANCODE_M,SDLK_m
-,SDL_SCANCODE_MINUS,SDLK_MINUS
N,SDL_SCANCODE_N,SDLK_n
Numlock,SDL_SCANCODE_NUMLOCKCLEAR,SDLK_NUMLOCKCLEAR
O,SDL_SCANCODE_O,SDLK_o
P,SDL_SCANCODE_P,SDLK_p
PageDown,SDL_SCANCODE_PAGEDOWN,SDLK_PAGEDOWN
PageUp,SDL_SCANCODE_PAGEUP,SDLK_PAGEUP
.,SDL_SCANCODE_PERIOD,SDLK_PERIOD
Q,SDL_SCANCODE_Q,SDLK_q
R,SDL_SCANCODE_R,SDLK_r
Right Alt (alt gr, option),SDL_SCANCODE_RALT
Right Ctrl,SDL_SCANCODE_RCTRL,SDLK_RCTRL
Return,SDL_SCANCODE_RETURN,SDLK_RETURN
Return,SDL_SCANCODE_RETURN2,SDLK_RETURN2
Right,SDL_SCANCODE_RIGHT,SDLK_RIGHT
],SDL_SCANCODE_RIGHTBRACKET,SDLK_RIGHTBRACKET
Right Shift,SDL_SCANCODE_RSHIFT,SDLK_RSHIFT
S,SDL_SCANCODE_S,SDLK_s
;,SDL_SCANCODE_SEMICOLON,SDLK_SEMICOLON
/,SDL_SCANCODE_SLASH,SDLK_SLASH
Space,SDL_SCANCODE_SPACE,SDLK_SPACE
T,SDL_SCANCODE_T,SDLK_t
Tab,SDL_SCANCODE_TAB,SDLK_TAB
U,SDL_SCANCODE_U,SDLK_u
Up,SDL_SCANCODE_UP,SDLK_UP
V,SDL_SCANCODE_V,SDLK_v
W,SDL_SCANCODE_W,SDLK_w
X,SDL_SCANCODE_X,SDLK_x
Y,SDL_SCANCODE_Y,SDLK_y
Z,SDL_SCANCODE_Z,SDLK_z
